adver_number,brand,class_,variant_,km,engine_capacity_cc,fuel,gear,adver_date,year,city,price_tl,variant,title,city_
#3870263,Mercedes,A-Class,A 180,41000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2016,Other,325950,A 180 d AMG,2016 A180dAMG MAKYAJLI KASA CAM TAVAN XENON KEYLES SERVİSBAKIML Mercedes - Benz A Serisi A 180 d AMG,Izmir
#294428,Mercedes,A-Class,A 180,102000,1301-1600 cc,Diesel,Automatic,21/03/2021,2017,Other,242000,A 180 CDI BlueEfficiency Style,Özsağlam dan 2017 Mercedes A180 CDI Style 102binde Siyah Boyasız Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Style,Konya
#3503014,Mercedes,A-Class,Other,0,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2020,Other,440000,Other,EROĞLU 0.KM 2020 MERCEDES A180d TECHNOLOGY CAMTAVAN DERİ XENON Mercedes - Benz A Serisi A 180 d Style,Adana
#2259580,Mercedes,A-Class,A 180,160000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2014,Istanbul,239250,A 180 CDI BlueEfficiency Urban,A180 CDI BlueEFFICIENCY URBAN.. DEĞİŞENSİZ-İÇİ BEJ-OTOMATİK.. Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Urban,Istanbul
#1923116,Mercedes,A-Class,A 180,91000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2016,Other,303750,A 180 d AMG,AZİM OTOMOTİV DEN İLK SAHİBİN DEN 2016 A 180 d AMG 90.000 KM DE Mercedes - Benz A Serisi A 180 d AMG,Denizli
#792477,Mercedes,A-Class,Other,57000,1300 cc and lower,Diesel,Semi-Automatic,21/03/2021,2017,Istanbul,278000,Other,NEVZATOTO-57000KM-MERCEDES A180 CDI STYLE-YETKİLİ SERVİS BAKIMLI Mercedes - Benz A Serisi A 180 d Style,Istanbul
#2440377,Mercedes,A-Class,A 180,122000,1301-1600 cc,Petrol,Semi-Automatic,21/03/2021,2015,Other,289000,A 180 AMG Sport,ÖZGÜVEN OTODAN 2015 A180 AMG SPORT 1.6 CAM TAVAN Mercedes - Benz A Serisi A 180 AMG Sport,Kocaeli
#3502367,Mercedes,A-Class,A 180,155000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2014,Other,254000,A 180 CDI BlueEfficiency AMG,YÜCELOĞLU OTOMOTİV DEN HATA BOYA DEĞİŞEN YOK AMG Mercedes - Benz A Serisi A 180 CDI BlueEfficiency AMG,Tekirdag
#4461517,Mercedes,A-Class,A 180,70000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2016,Istanbul,228850,A 180 CDI BlueEfficiency Style,2016 ORJİNAL 70 BİN KM GARANTİLİ A 180 CDİ BLUE EFFİCİENCY STLYE Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Style,Istanbul
#1883829,Mercedes,A-Class,A 180,75000,1300 cc and lower,Petrol,Semi-Automatic,21/03/2021,2013,Istanbul,233000,A 180 Style,2013 MERCEDES A180 STYLE CAM TAVANLI 75.000 KM HATASIZ Mercedes - Benz A Serisi A 180 Style,Istanbul
#832596,Mercedes,A-Class,A 180,178000,1301-1600 cc,Petrol,Semi-Automatic,21/03/2021,2007,Other,104999,A 150 Polarstar,PARK AUTO DAN 178.000 KM OTOMATİK A150 Mercedes - Benz A Serisi A 150 Polarstar,Konya
#1218883,Mercedes,A-Class,A 180,76000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2016,Other,306500,A 180 d AMG,BOYASIZ HATASIZ 2016 MERCEDES A180d AMG 75.600KM DE CAM TAVAN Mercedes - Benz A Serisi A 180 d AMG,Izmir
#3453861,Mercedes,A-Class,A 180,138000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2015,Istanbul,262950,A 180 CDI BlueEfficiency AMG,ULAŞ AUTO DAN 2015 MERCEDES A180 CDI AMG HATASIZ BOYASIZ Mercedes - Benz A Serisi A 180 CDI BlueEfficiency AMG,Istanbul
#4643213,Mercedes,A-Class,A 180,40000,1300 cc and lower,Petrol,Semi-Automatic,21/03/2021,2013,Istanbul,227000,A 180 Style,2013 A 180 STYLE 40.000 KM DE HATASIZ-BOYASIZ HASAR KAYITSIZ Mercedes - Benz A Serisi A 180 Style,Istanbul
#3912328,Mercedes,A-Class,A 180,6000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2020,Istanbul,452500,A 180 d AMG,DÜZEN AUTO AUTOPİA 2020 A180d AMG TEKNOLOJİ PLUS HAFIZA COMMAND Mercedes - Benz A Serisi A 180 d AMG,Istanbul
#2305052,Mercedes,A-Class,A 180,95000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2015,Istanbul,269000,A 180 CDI BlueEfficiency AMG,CARMIX MOTORS 2015 MERCEDES BENZ A180 CDI AMG Mercedes - Benz A Serisi A 180 CDI BlueEfficiency AMG,Istanbul
#1809488,Mercedes,A-Class,A 200,41000,1301-1600 cc,Petrol,Semi-Automatic,21/03/2021,2017,Istanbul,335000,A 200 BlueEfficiency AMG,GARAGE 2017 MERCEDES BENZ A 200 AMG CAM TAVAN KAMERA Mercedes - Benz A Serisi A 200 BlueEfficiency AMG,Istanbul
#1656574,Mercedes,A-Class,A 180,93000,1301-1600 cc,Diesel,Automatic,21/03/2021,2017,Other,257000,A 180 CDI BlueEfficiency Style,Özsağlam dan 2017 Mercedes A180 CDI Style 93binde Beyaz Boyasız Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Style,Konya
#4443610,Mercedes,A-Class,A 180,138000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2016,Istanbul,299900,A 180 d AMG,EMEFE MOTORS 2016 A180d AMG 7G-DCT C. TAVN KARBON G.GÖRÜŞ 116 HP Mercedes - Benz A Serisi A 180 d AMG,Istanbul
#4422963,Mercedes,A-Class,A 180,82000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2016,Other,299000,A 180 d AMG,2016 MERCEDES A180 D AMG HATASIZ-BOYASIZ-TRAMERSİZ Mercedes - Benz A Serisi A 180 d AMG,Trabzon
#4777448,Mercedes,A-Class,A 180,34000,1301-1600 cc,Petrol,Semi-Automatic,21/03/2021,2016,Other,326900,A 180 AMG Sport,VEFA-2016 MODEL MERCEDES A 180 BLUEEFFICIENCY AMG 7G-DTC Mercedes - Benz A Serisi A 180 AMG Sport,Denizli
#3952821,Mercedes,A-Class,Other,900000,1301-1600 cc,Petrol,Semi-Automatic,21/03/2021,2020,Other,439900,Other,2O2O-MODEL 9OO-KM DE A-18O BLACKART BEJ-DERİ KAMERA IŞIK-PAKET F Mercedes - Benz A Serisi A 180 Progressive,Adana
#4420263,Mercedes,A-Class,A 180,77000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2015,Istanbul,278950,A 180 CDI BlueEfficiency AMG,CİVAN 2015 MERCEDES-BENZ A180 CDI AMG C.TAV-BOYASIZ-18 -HATASIZ Mercedes - Benz A Serisi A 180 CDI BlueEfficiency AMG,Istanbul
#424581,Mercedes,A-Class,Other,46000,1300 cc and lower,Diesel,Automatic,21/03/2021,2017,Other,307000,Other,EKSTRA DERİ KOLTUK AKILLI ANAHTAR SUNROOF ÖZELLİKLİ OTOMATİK VİT Mercedes - Benz A Serisi A 180 d Style,Ordu
#878261,Mercedes,A-Class,A 180,42000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2015,Other,287500,A 180 CDI BlueEfficiency Style,2015 BOYASIZ A 180 CDI STYLE 7 G-DCT XENON CM TVN İLKELDEN Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Style,Gaziantep
#3792309,Mercedes,A-Class,A 180,145000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2015,Other,220900,A 180 CDI BlueEfficiency Style,45 BİN PEŞİNATLA DİZEL OTOMATİK 2015 Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Style,Düzce
#1730879,Mercedes,A-Class,A 180,75000,1301-1600 cc,Petrol,Semi-Automatic,21/03/2021,2014,Other,258000,A 180 AMG Sport,2014 MODEL MERCEDES A180 AMG HATASIZ-BOYASIZ-TRAMERSİZ Mercedes - Benz A Serisi A 180 AMG Sport,Zonguldak
#4561054,Mercedes,A-Class,A 180,75000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2016,Other,255000,A 180 d AMG,KENT AUTO 2016 MODEL A 180d GECE PAKETİ CAM TAVAN RECARO KOLTUK Mercedes - Benz A Serisi A 180 d AMG,Şanlıurfa
#2645387,Mercedes,A-Class,A 180,56000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2016,Other,309500,A 180 d AMG,HATASIZ-DEĞİŞENSİZ 2016 MAKYAJLI KASA A180d AMG 56.000 Km Mercedes - Benz A Serisi A 180 d AMG,Aydın
#3134290,Mercedes,A-Class,A 180,58000,1301-1600 cc,Petrol,Semi-Automatic,21/03/2021,2014,Istanbul,197500,A 180 Urban,DS CAR DAN 2014 MODEL A180 BENZİN OTOMATİK URBAN Mercedes - Benz A Serisi A 180 Urban,Istanbul
#1631064,Mercedes,A-Class,A 180,112000,1301-1600 cc,Petrol,Semi-Automatic,21/03/2021,2013,Other,258500,A 180 AMG Sport,SIFIR HATA BOYASIZ HATASIZ 2013 AMG BEYAZ İNCİ Mercedes - Benz A Serisi A 180 AMG Sport,Antalya
#630576,Mercedes,A-Class,A 180,148000,1301-1600 cc,Petrol,Semi-Automatic,21/03/2021,2013,Other,232000,A 180 AMG Sport,MERCEDES-BENZ A180 AMG SPORT CAM TAVAN FULL BAKIMLI Mercedes - Benz A Serisi A 180 AMG Sport,Izmir
#2523625,Mercedes,A-Class,A 180,62000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2017,Istanbul,268000,A 180 d AMG,2017 MERCEDES-BENZ A 180 D AMG ANINDA KREDİ İLE Mercedes - Benz A Serisi A 180 d AMG,Istanbul
#364713,Mercedes,A-Class,A 180,125000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2016,Istanbul,254500,A 180 CDI BlueEfficiency Urban,DAK AUTO DAN 2016 MERCEDES-BENZ A 180 CDI Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Urban,Istanbul
#3275028,Mercedes,A-Class,A 180,127000,1300 cc and lower,Petrol,Semi-Automatic,21/03/2021,2012,Istanbul,209950,A 180 Urban,2012 MERCEDES-BENZ A 180 URBAN CAM TAVAN OTOMATİK 127.000 KMDE Mercedes - Benz A Serisi A 180 Urban,Istanbul
#1718526,Mercedes,A-Class,A 180,43000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2015,Other,299900,A 180 CDI BlueEfficiency AMG,2015 A 180 CDİ AMG GECE PAKETİ KIRMIZI 43.500 Km de Mercedes - Benz A Serisi A 180 CDI BlueEfficiency AMG,Denizli
#3729154,Mercedes,A-Class,A 180,35000,1301-1600 cc,Diesel,Semi-Automatic,21/03/2021,2017,Other,329000,A 180 d AMG,2017 A 180 d AMG 35.000 Km de KÖR NOKTA-ŞERİT TAKİP Mercedes - Benz A Serisi A 180 d AMG,Denizli
#2022973,Mercedes,A-Class,A 180,100000,1301-1600 cc,Diesel,Semi-Automatic,05/02/2021,2020,Istanbul,489500,A 180 d AMG,2020 A 180d AMG SEDAN TEKNOLOJİPLUS PANORAMİK MBUX GERİGÖRÜŞ Mercedes - Benz A Serisi A 180 d AMG,Istanbul
