advertisement_number,brand,series,version,year,km,price,advertisement_date,gear,fuel,engine_capacity,engine_power,from,city
#2798325,Mercedes,E Serisi,E 250 BlueTEC,2015,150.000,525.000 TL,22/03/2021,525.000 TL,Marka:,Otomatik Vites,Benzin,1801-2000 cc,Ankara
#4324911,Mercedes,E Serisi,E 180 Elite,2013,80.200,389.000 TL,21/03/2021,389.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Ankara
#4590792,Mercedes,E Serisi,E 250 CDI BlueEfficiency Avantgarde,2010,302.000,310.000 TL,21/03/2021,310.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,Kilis
#2743421,Mercedes,E Serisi,E 220 CDI Elegance,2005,237.000,215.000 TL,21/03/2021,215.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,Kilis
#1184828,Mercedes,E Serisi,E 180 Exclusive,2018,33.500,695.000 TL,21/03/2021,695.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#1371734,Mercedes,E Serisi,E 250 CDI Edition,2015,184.000,555.000 TL,21/03/2021,555.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,Adana
#4764206,Mercedes,E Serisi,E 300 AMG,2017,104.000,895.000 TL,21/03/2021,895.000 TL,Marka:,Otomatik Vites,Benzin,1801-2000 cc,İstanbul
#1288254,Mercedes,E Serisi,E 200 Komp. Avantgarde,2004,287.000,225.000 TL,21/03/2021,225.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1601-1800 cc,Konya
#4732863,Mercedes,E Serisi,E 200 Komp. Avantgarde,2004,219.000,225.000 TL,21/03/2021,225.000 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1601-1800 cc,Ordu
#4732869,Mercedes,E Serisi,E 180 AMG Premium,2014,56.000,529.000 TL,21/03/2021,529.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Ordu
#379440,Mercedes,E Serisi,E 200 AMG,2016,101.000,549.000 TL,21/03/2021,549.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,Denizli
#2801737,Mercedes,E Serisi,E 220 d Avantgarde,2016,167.000,629.900 TL,21/03/2021,629.900 TL,Marka:,Yarı Otomatik Vites,Dizel,1801-2000 cc,Bursa
#3236666,Mercedes,E Serisi,Diğer,2020,0,1.470.000 TL,21/03/2021,1.470.000 TL,Marka:,Otomatik Vites,Dizel,1300 cc ve altı,İstanbul
#3190405,Mercedes,E Serisi,E 220 d Exclusive,2017,53.321,920.000 TL,21/03/2021,920.000 TL,Marka:,Otomatik Vites,Dizel,1801-2000 cc,Samsun
#4674231,Mercedes,E Serisi,Diğer,2016,138.000,439.900 TL,21/03/2021,439.900 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Giresun
#228489,Mercedes,E Serisi,E 220 CDI BlueEfficiency,2011,199.000,323.000 TL,21/03/2021,323.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,İstanbul
#3437428,Mercedes,E Serisi,E 250 AMG 7G-Tronic,2015,150.000,460.000 TL,21/03/2021,460.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,Mersin
#1590897,Mercedes,E Serisi,E 180 Exclusive,2018,34.000,581.900 TL,21/03/2021,581.900 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#1229478,Mercedes,E Serisi,E 250 CGI Premium,2012,127.000,342.500 TL,21/03/2021,342.500 TL,Marka:,Yarı Otomatik Vites,Benzin,1601-1800 cc,Ankara
#2751896,Mercedes,E Serisi,E 180 Exclusive,2018,51.000,655.000 TL,21/03/2021,655.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#1360112,Mercedes,E Serisi,E 200 Komp. Elegance,2006,205.000,217.900 TL,21/03/2021,217.900 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1601-1800 cc,Ankara
#2154935,Mercedes,E Serisi,E 250 D 250 D,1993,550.000,89.000 TL,21/03/2021,89.000 TL,Marka:,Otomatik Vites,Dizel,1300 cc ve altı,Gaziantep
#2275771,Mercedes,E Serisi,E 220 CDI Elegance,1997,446.000,105.000 TL,21/03/2021,105.000 TL,Marka:,Düz Vites,Dizel,1300 cc ve altı,Gaziantep
#3834370,Mercedes,E Serisi,E 180 AMG,2018,12.500,700.000 TL,21/03/2021,700.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Antalya
#4183304,Mercedes,E Serisi,E 200 200,1993,400.000,77.000 TL,21/03/2021,77.000 TL,Marka:,Düz Vites,Benzin/LPG,1801-2000 cc,Denizli
#3584914,Mercedes,E Serisi,E 200 Komp. Avantgarde,2004,340.000,195.900 TL,21/03/2021,195.900 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1601-1800 cc,Ankara
#4052363,Mercedes,E Serisi,E 200 Komp. Avantgarde,2008,376.000,325.000 TL,21/03/2021,325.000 TL,Marka:,Otomatik Vites,Benzin/LPG,1601-1800 cc,Adıyaman
#4727984,Mercedes,E Serisi,E 180 Elite,2015,79.000,420.000 TL,21/03/2021,420.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Mardin
#4798994,Mercedes,E Serisi,E 200 Avantgarde,1997,425.000,105.000 TL,21/03/2021,105.000 TL,Marka:,Otomatik Vites,Benzin/LPG,1801-2000 cc,Denizli
#4785428,Mercedes,E Serisi,E 250 Elite,2014,177.000,413.000 TL,21/03/2021,413.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,Kayseri
#4256629,Mercedes,E Serisi,E 180 AMG,2017,25.000,655.000 TL,21/03/2021,655.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#2791021,Mercedes,E Serisi,E 220 CDI Avantgarde,2007,410.000,189.000 TL,21/03/2021,189.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,İstanbul
#1392873,Mercedes,E Serisi,E 320 Avantgarde,1996,358.000,87.500 TL,21/03/2021,87.500 TL,Marka:,Otomatik Vites,Benzin/LPG,3001-3500 cc,Manisa
#1894177,Mercedes,E Serisi,E 250 CGI AMG,2013,154.000,459.900 TL,21/03/2021,459.900 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,Bursa
#3337879,Mercedes,E Serisi,E 180 Edition E,2015,43.575,487.500 TL,21/03/2021,487.500 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#2233534,Mercedes,E Serisi,E 300 300,1985,277.000,43.500 TL,21/03/2021,43.500 TL,Marka:,Düz Vites,Benzin/LPG,1300 cc ve altı,Gaziantep
#4785009,Mercedes,E Serisi,E 250 CDI Premium,2015,94.000,600.000 TL,21/03/2021,600.000 TL,Marka:,Otomatik Vites,Dizel,2001-2500 cc,İstanbul
#2369882,Mercedes,E Serisi,E 250 CDI Premium,2014,145.000,530.000 TL,21/03/2021,530.000 TL,Marka:,Otomatik Vites,Dizel,2001-2500 cc,Şanlıurfa
#4607539,Mercedes,E Serisi,E 180 Edition E,2015,103.000,390.000 TL,21/03/2021,390.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#4607539,Mercedes,E Serisi,E 180 Edition E,2015,103.000,390.000 TL,21/03/2021,390.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#2578566,Mercedes,E Serisi,E 180 Edition E,2016,56.000,448.000 TL,21/03/2021,448.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#1182690,Mercedes,E Serisi,E 200 Elegance,1996,375.000,89.750 TL,21/03/2021,89.750 TL,Marka:,Otomatik Vites,Benzin/LPG,1801-2000 cc,Ankara
#3103499,Mercedes,E Serisi,E 250 AMG 7G-Tronic,2014,93.000,485.000 TL,21/03/2021,485.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,Hatay
#940198,Mercedes,E Serisi,E 320 Avantgarde,2001,278.000,140.000 TL,21/03/2021,140.000 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,3001-3500 cc,Gaziantep
#1753347,Mercedes,E Serisi,E 180 Exclusive,2017,93.000,569.950 TL,21/03/2021,569.950 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#1918831,Mercedes,E Serisi,E 200 Komp. Avantgarde,2004,501.000,176.900 TL,21/03/2021,176.900 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1601-1800 cc,Denizli
#4314454,Mercedes,E Serisi,E 180 Elite,2013,75.000,440.000 TL,21/03/2021,440.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
İlan Tarihi:,Model:,Varyant:,Model Yılı:,Kilometre:,Yakıt Türü:,330.000 TL,Marka:,330.000 TL,Mercedes,Motor Hacmi:,Vites Tipi:,Motor Gücü:,İlan No:
#2345373,Mercedes,E Serisi,E 200 Exclusive,2016,76.000,615.000 TL,21/03/2021,615.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,İstanbul
#1764652,Mercedes,E Serisi,E 220 d Avantgarde,2017,184.000,680.000 TL,21/03/2021,680.000 TL,Marka:,Otomatik Vites,Dizel,1801-2000 cc,İstanbul
#3075357,Mercedes,E Serisi,E 220 d AMG,2021,0,1.475.000 TL,21/03/2021,1.475.000 TL,Marka:,Otomatik Vites,Dizel,1801-2000 cc,İstanbul
