class_,variant_,km,engine_capacity_cc,fuel,gear,city,price_tl,age
0,0,41000,1,0,2,1,325950,6
0,0,102000,1,0,0,1,242000,5
0,12,0,1,0,2,1,440000,2
0,0,160000,1,0,2,0,239250,8
0,0,91000,1,0,2,1,303750,6
0,12,57000,0,0,2,0,278000,5
0,0,122000,1,1,2,1,289000,7
0,0,155000,1,0,2,1,254000,8
0,0,70000,1,0,2,0,228850,6
0,0,75000,0,1,2,0,233000,9
0,0,178000,1,1,2,1,104999,15
0,0,76000,1,0,2,1,306500,6
0,0,138000,1,0,2,0,262950,7
0,0,40000,0,1,2,0,227000,9
0,0,6000,1,0,2,0,452500,2
0,0,95000,1,0,2,0,269000,7
0,1,41000,1,1,2,0,335000,5
0,0,93000,1,0,0,1,257000,5
0,0,138000,1,0,2,0,299900,6
0,0,82000,1,0,2,1,299000,6
0,0,34000,1,1,2,1,326900,6
0,12,90000,1,1,2,1,439900,2
0,0,77000,1,0,2,0,278950,7
0,12,46000,0,0,0,1,307000,5
0,0,42000,1,0,2,1,287500,7
0,0,145000,1,0,2,1,220900,7
0,0,75000,1,1,2,1,258000,8
0,0,75000,1,0,2,1,255000,6
0,0,56000,1,0,2,1,309500,6
0,0,58000,1,1,2,0,197500,8
0,0,112000,1,1,2,1,258500,9
0,0,148000,1,1,2,1,232000,9
0,0,62000,1,0,2,0,268000,5
0,0,125000,1,0,2,0,254500,6
0,0,127000,0,1,2,0,209950,10
0,0,43000,1,0,2,1,299900,7
0,0,35000,1,0,2,1,329000,5
0,0,100000,1,0,2,0,489500,2
0,0,49000,1,1,2,1,292750,7
0,0,166000,1,1,2,0,242500,9
0,0,193000,0,1,0,0,204900,10
0,12,90000,1,0,2,0,409500,2
0,0,74000,1,1,2,0,219750,9
0,0,28000,1,0,2,0,417500,4
0,0,114000,1,0,1,1,207000,10
0,12,46000,0,0,0,1,302000,5
0,12,37000,1,0,2,0,369000,4
0,0,286000,1,1,1,1,79250,20
0,0,6000,1,0,2,0,459500,2
0,0,100000,1,0,2,1,293000,7
0,0,300000,1,1,1,1,62750,21
0,12,90000,1,1,2,1,439900,2
0,0,85000,1,0,2,0,383000,4
0,0,57000,1,0,2,0,279000,5
0,0,130000,0,1,2,0,229800,10
0,1,8000,1,1,2,0,515000,2
0,0,91000,1,0,2,1,257999,8
0,0,27000,1,1,2,0,417000,2
